Year,Month,Total Days,Start Day,Start English Date,End Day,End English Date
2083,Baishakh,32,Monday,15-06-2026,Thursday,16-07-2026
2083,Jestha,31,Friday,15-05-2026,Sunday,14-06-2026
2083,Aashadha,32,Monday,15-06-2026,Thursday,16-07-2026
2083,Shrawan,31,Friday,17-07-2026,Sunday,16-08-2026
2083,Bhadra,31,Monday,17-08-2026,Wednesday,16-09-2026
2083,Ashwin,31,Thursday,17-09-2026,Saturday,17-10-2026
2083,Kartik,30,Sunday,18-10-2026,Monday,16-11-2026
2083,Mangsir,29,Tuesday,17-11-2026,Tuesday,15-12-2026
2083,Paush,30,Wednesday,16-12-2026,Thursday,14-01-2027
2083,Magh,29,Friday,15-01-2027,Friday,12-02-2027
2083,Falgun,30,Saturday,13-02-2027,Sunday,14-03-2027
2083,Chaitra,30,Monday,15-03-2027,Tuesday,13-04-2027
